,tweet_vader_score,tweet_neg_score,tweet_pos_score,tweet_neu_score,tweet_source,tweet_text,tweet_date
77,0.0,0.0,0.0,1.0,CBS News,"Two senators investigating Russian interference in the 2016 election say they have ""recently reengaged"" Michael Coh… https://t.co/jzqyOSm27I",Tue Aug 21 21:35:39 +0000 2018
78,-0.6997,0.284,0.062,0.654,CBS News,"White House sources say there's worry in the building over the Paul Manafort guilty verdict. ""It's really hard to g… https://t.co/QOZrVM6hL6",Tue Aug 21 21:30:29 +0000 2018
79,-0.6214,0.263,0.0,0.737,CBS News,"Michael Cohen is going to pay ""a very, very serious price"" after pleading guilty, Deputy U.S. Attorney Robert Khuza… https://t.co/Bkn7BdBAEs",Tue Aug 21 21:23:15 +0000 2018
80,0.0,0.0,0.0,1.0,The New York Times,"“If anybody told me the story I’m telling,” he said, “I wouldn’t believe it.” 

A widower met a younger woman on th… https://t.co/FG18uRX8nb",Wed Aug 22 00:32:08 +0000 2018
81,-0.2023,0.184,0.0,0.816,The New York Times,Everyone charged in the Russia investigation so far https://t.co/0RtqheXzCU,Wed Aug 22 00:14:05 +0000 2018
82,0.0,0.0,0.0,1.0,The New York Times,"Mollie Tibbetts, a 20-year-old student at the University of Iowa, was last seen a month ago while going for a jog i… https://t.co/6jAbckk1p2",Wed Aug 22 00:02:01 +0000 2018
83,-0.875,0.37,0.0,0.63,The New York Times,"RT @nytvideo: Michael Cohen, President Trump's former fixer, pleaded guilty to tax evasion, bank fraud and campaign finance violations. Her…",Tue Aug 21 23:46:06 +0000 2018
84,0.0,0.0,0.0,1.0,The New York Times,Breaking News: Facebook took down 652 accounts and pages after finding a new influence campaign ahead of the midter… https://t.co/iaKA4zG99e,Tue Aug 21 23:29:50 +0000 2018
85,0.0,0.0,0.0,1.0,The New York Times,"RT @sheeraf: And our story is out! Facebook announcing a much bigger take down of accounts, pages and groups taking part in influence opera…",Tue Aug 21 23:26:15 +0000 2018
86,0.0,0.0,0.0,1.0,The New York Times,"RT @sheeraf: This time, Facebook is naming names. They will announce that a coordinated influence campaign, some of which originated in Ira…",Tue Aug 21 23:26:02 +0000 2018
